NUMBER_05B,ALPHA_J2000_05B,DELTA_J2000_05B
14725,34.45577871364749,-5.504776286490921
14788,34.4740255896262,-5.50450188764928
14838,34.482304511750996,-5.504329151224361
14848,34.486360546775295,-5.5042915235932455
14849,34.483669439955094,-5.504294064643405
14851,34.53569705010751,-5.504294557021954
14863,34.54092994801058,-5.504234789935029
14904,34.510542016328685,-5.504068795600106
14947,34.56859079297486,-5.503953972249514
14951,34.519472867747,-5.503923201225441
14972,34.507962076639124,-5.503897999310389
14968,34.45339770534224,-5.503878970995062
14987,34.572554131475734,-5.50385116658641
15073,34.47154905951906,-5.503589366610413
15079,34.47639379820012,-5.50356570853089
15051,34.56212285876158,-5.504881940815634
15058,34.52308663912129,-5.503614406203356
15103,34.493633007475395,-5.50345186475696
15116,34.53182075619274,-5.5033831036695116
15145,34.483583084418015,-5.503339517571105
15184,34.47908608096675,-5.503200733332434
15204,34.56370315865432,-5.503180709301824
15244,34.47979073616321,-5.503038037890321
15248,34.5356874512702,-5.5030260126841135
15265,34.45683237781182,-5.502985195746966
15276,34.466405031421004,-5.502951743000918
15302,34.52405797929129,-5.50288809141572
15312,34.51499450502131,-5.502837216430031
15323,34.47117693275344,-5.503821013749746
15331,34.471154750415884,-5.502735597152998
15359,34.52671705081356,-5.502687381198337
15362,34.51619230712161,-5.502702469603382
15411,34.458064234792296,-5.502514112152013
15430,34.57975996856488,-5.5024074475298965
15468,34.45509045141345,-5.5022992141856015
15487,34.475198534859764,-5.50226635849106
15485,34.550717781496694,-5.502267399765784
15464,34.51340652172212,-5.503802321445138
15514,34.55607936093757,-5.502152607335522
15523,34.5392933290667,-5.502125875257294
15531,34.48702481496872,-5.502136408501881
15578,34.52323868165579,-5.502008079346652
15587,34.45997033074948,-5.501992055956707
15588,34.504785215281764,-5.501979961417078
15605,34.519904424687304,-5.501900295142416
15627,34.47906698200782,-5.50184447610736
15624,34.49278199418397,-5.501822875078635
15636,34.468203898093485,-5.501808762671697
15659,34.505949723948305,-5.501713561538169
15693,34.504094773407594,-5.501629892576923
15696,34.52668660239983,-5.501652288515316
15699,34.55598711784724,-5.501600781050066
15705,34.50945090341477,-5.501605099515771
15702,34.54855258132374,-5.50206759406605
15741,34.50678983126422,-5.50151764520161
15757,34.56824120188158,-5.501462821237538
15779,34.54771288074937,-5.501374213104802
15904,34.47291081412227,-5.5010603698926355
15926,34.473936551789365,-5.500976420026866
15932,34.54707558748569,-5.500953975875764
16065,34.51303457920087,-5.500535300509286
16066,34.4639731134955,-5.500540762743131
16111,34.569956062258925,-5.500374607372222
16154,34.57390601013329,-5.500212003818748
16172,34.491154384716864,-5.500191362291414
16171,34.45198764125796,-5.50017805349654
16193,34.53437052356878,-5.500118352875846
16226,34.544482934040104,-5.499993751390069
16235,34.52087769536263,-5.499965780858864
16284,34.55241531373952,-5.4998096395983485
16296,34.48111286138951,-5.499788236873142
16323,34.5364768809557,-5.499691751076286
16347,34.5459779266345,-5.499624076648469
16402,34.59086240508118,-5.499441745138217
16431,34.55399092811064,-5.499348909473046
16451,34.51646631889717,-5.49929332285558
16464,34.59878078031864,-5.4992354921364415
16463,34.45586046095798,-5.4992735225188945
16460,34.56514299594815,-5.4992509268705625
16487,34.46350044055067,-5.499192621927261
16509,34.51566617789874,-5.499097480037228
16552,34.584939512346686,-5.498973224397935
16577,34.467258809425346,-5.498935789563646
16604,34.478645385333074,-5.4988037998213635
16618,34.45609161221985,-5.498792307272576
16724,34.47762156061505,-5.49846109041462
16800,34.452965459835255,-5.498163402543052
16810,34.4727132295347,-5.4981573736680724
16841,34.53287688982556,-5.4980440658576075
